model_key,model,protocol,protocol_name,direction,row_type,genre,is_seen,n,mrr,recall_at_1,recall_at_5,recall_at_10,mean_rank
untrained,Untrained Heads,A,pair,V2A,genre,Classical music,1,366,0.0023356186180281575,0.0,0.0,0.00546448087431694,1631.1803278688524
untrained,Untrained Heads,A,pair,V2A,genre,Country,1,367,0.004546410008583796,0.0,0.0027247956403269754,0.005449591280653951,1406.7874659400545
untrained,Untrained Heads,A,pair,V2A,genre,Electronic music,0,367,0.0005784830219252421,0.0,0.0,0.0,2317.5885558583104
untrained,Untrained Heads,A,pair,V2A,genre,Funk,0,367,0.0011978973352801117,0.0,0.0,0.0,1982.2425068119892
untrained,Untrained Heads,A,pair,V2A,genre,Hip hop music,1,367,0.0006608660252306196,0.0,0.0,0.0,2291.7602179836513
untrained,Untrained Heads,A,pair,V2A,genre,Jazz,1,367,0.0026156477636622402,0.0,0.0,0.0,1441.0871934604904
untrained,Untrained Heads,A,pair,V2A,genre,Pop music,1,367,0.0012379473711479985,0.0,0.0,0.0,1932.4277929155314
untrained,Untrained Heads,A,pair,V2A,genre,Reggae,0,366,0.0037076366312643856,0.00273224043715847,0.00273224043715847,0.00273224043715847,2185.1338797814205
untrained,Untrained Heads,A,pair,V2A,genre,Rock music,1,367,0.0015005579067940643,0.0,0.0,0.0,1661.6539509536785
untrained,Untrained Heads,A,pair,V2A,seen_mean,,,,0.002589479145487099,0.0,0.0011677695601401323,0.002726922725135974,1691.1246322802133
untrained,Untrained Heads,A,pair,V2A,unseen_mean,,,,0.0018280056628232465,0.0009107468123861566,0.0009107468123861566,0.0009107468123861566,2161.65498081724
untrained,Untrained Heads,A,pair,V2A,overall_mean,,,,0.002361037100687943,0.000273224043715847,0.0010906627358139396,0.0021820699513110287,1832.2837368413213
untrained,Untrained Heads,A,pair,A2V,genre,Blues,1,367,0.0024598736476672584,0.0,0.0027247956403269754,0.0027247956403269754,1956.841961852861
untrained,Untrained Heads,A,pair,A2V,genre,Classical music,1,366,0.002040882350945148,0.0,0.00273224043715847,0.00273224043715847,1563.7185792349726
untrained,Untrained Heads,A,pair,A2V,genre,Country,1,367,0.0024767167296631067,0.0,0.0,0.008174386920980926,1756.5367847411444
untrained,Untrained Heads,A,pair,A2V,genre,Electronic music,0,367,0.0017301560971345687,0.0,0.0027247956403269754,0.0027247956403269754,1887.3651226158038
untrained,Untrained Heads,A,pair,A2V,genre,Funk,0,367,0.002579198673933682,0.0,0.0027247956403269754,0.0027247956403269754,1824.1771117166213
untrained,Untrained Heads,A,pair,A2V,genre,Hip hop music,1,367,0.004804390904075113,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,1790.9591280653951
untrained,Untrained Heads,A,pair,A2V,genre,Jazz,1,367,0.001471964095304281,0.0,0.0,0.0027247956403269754,1930.7057220708448
untrained,Untrained Heads,A,pair,A2V,genre,Pop music,1,367,0.002084826881653676,0.0,0.0,0.0,1645.651226158038
untrained,Untrained Heads,A,pair,A2V,genre,Reggae,0,366,0.0034665232778265972,0.0,0.0,0.00819672131147541,1643.549180327869
untrained,Untrained Heads,A,pair,A2V,genre,Rock music,1,367,0.0012348235978249125,0.0,0.0,0.0,2113.983651226158
untrained,Untrained Heads,A,pair,A2V,seen_mean,,,,0.002367639743876214,0.00038925652004671076,0.0011688331025446316,0.0027258591827314742,1822.6281504784877
untrained,Untrained Heads,A,pair,A2V,unseen_mean,,,,0.002591959349631616,0.0,0.0018165304268846503,0.00454877086404312,1785.0304715534314
untrained,Untrained Heads,A,pair,A2V,overall_mean,,,,0.0024349356256028343,0.00027247956403269756,0.0013631422998466372,0.0032727326871249676,1811.3488468009705
untrained,Untrained Heads,B,label,V2A,genre,Blues,1,367,0.398423962104039,0.11989100817438691,0.8256130790190735,0.9809264305177112,3.678474114441417
untrained,Untrained Heads,B,label,V2A,genre,Classical music,1,366,0.14236734137923893,0.01092896174863388,0.20765027322404372,0.48633879781420764,13.759562841530055
untrained,Untrained Heads,B,label,V2A,genre,Country,1,367,0.4198229865804796,0.11444141689373297,0.8692098092643051,0.9945504087193461,3.3569482288828336
untrained,Untrained Heads,B,label,V2A,genre,Electronic music,0,367,0.008161147682543645,0.0,0.0,0.0,178.14441416893732
untrained,Untrained Heads,B,label,V2A,genre,Funk,0,367,0.12679492959333533,0.01634877384196185,0.19346049046321526,0.3869209809264305,17.96457765667575
untrained,Untrained Heads,B,label,V2A,genre,Hip hop music,1,367,0.02889794282072147,0.0027247956403269754,0.01907356948228883,0.04632152588555858,101.30517711171662
untrained,Untrained Heads,B,label,V2A,genre,Jazz,1,367,0.1696827347253287,0.0,0.3133514986376022,0.6866485013623979,8.825613079019073
untrained,Untrained Heads,B,label,V2A,genre,Pop music,1,367,0.09280247025075004,0.0027247956403269754,0.1307901907356948,0.2615803814713896,21.52861035422343
untrained,Untrained Heads,B,label,V2A,genre,Reggae,0,366,0.7845882563846833,0.6857923497267759,0.912568306010929,0.9672131147540983,2.398907103825137
untrained,Untrained Heads,B,label,V2A,genre,Rock music,1,367,0.07287302321536555,0.0,0.05722070844686648,0.1880108991825613,21.354223433242506
