model_key,model,direction,genre,n,delta_median,delta_mean,delta_q25,delta_q75,delta_p10,delta_p05,frac_delta_neg,rank_median,spearman_delta_vs_rank,spearman_pvalue,pearson_delta_vs_rank,pearson_pvalue
pair,E1,A2V,Rock music,367,0.007524347830982214,-0.00307772867841998,-0.12075373770501405,0.14521012154140184,-0.28045404195637635,-0.34853246301400775,0.49318801089918257,2.0,-0.4508158538155762,9.010558443100516e-20,-0.4697647475318784,1.5232800131392195e-21
pair,E1,A2V,ALL,3668,-0.03427985269656316,-0.05598787022626698,-0.1759171411740541,0.08987098124654166,-0.336211555991432,-0.43161717843244796,0.5936860678072097,3.5,-0.5762302116001273,nan,-0.5128364794079014,nan
genre,E2,V2A,Blues,367,-0.01326277331506609,-0.020487946322919795,-0.026175129794432955,-0.004897885275199049,-0.04643063882354308,-0.06472416913271925,0.9264305177111717,5.0,-0.586521365237785,2.7167608962874164e-35,-0.42882872103622177,7.530988138808197e-18
genre,E2,V2A,Classical music,366,0.12351323297338929,0.09944640006252915,0.06497980504324678,0.15168170389545635,-0.001138956172371891,-0.03918576494426054,0.10109289617486339,1.0,-0.5714579591888519,4.088854328225793e-33,-0.44930780983975055,1.3823998796005931e-19
genre,E2,V2A,Country,367,0.01250411449230493,0.004744590985744137,-0.006134854525748912,0.0273848826906071,-0.03585925961854499,-0.05496552965851382,0.3405994550408719,2.0,-0.7348209582090508,1.6337707167889687e-63,-0.5342077094997745,1.8147831034619189e-28
genre,E2,V2A,Electronic music,367,0.011857540972409653,0.008611114771820784,-0.009539219675377991,0.03282980419484893,-0.031695460933630445,-0.05047295454051215,0.3405994550408719,1.0,-0.7643754219303278,1.4772925007117384e-71,-0.5819456361557439,1.2043987916037622e-34
genre,E2,V2A,Funk,367,-0.016154737155583687,-0.023773583768854026,-0.03273454155714775,-0.00783680756448335,-0.05412172817980416,-0.0663263165333816,0.9455040871934605,8.0,-0.6311702680444642,3.5110179000222747e-42,-0.6924369506447909,1.072396486870308e-53
genre,E2,V2A,Hip hop music,367,0.00621899912058127,0.0008149820619798119,-0.006468265058696854,0.013268406798439686,-0.022266233238943244,-0.03554873917973449,0.3405994550408719,2.0,-0.6390381372903905,1.631043179888034e-43,-0.6708243088589619,2.5579180762003585e-49
genre,E2,V2A,Jazz,367,-0.01143587515242983,-0.02073574869205516,-0.03775881369915307,0.0018420282770739704,-0.0646339311267302,-0.08775994238555944,0.7111716621253406,4.0,-0.6364550078006441,4.511962833327328e-43,-0.4178341981388178,6.119714763777151e-17
genre,E2,V2A,Pop music,367,-0.006185827476882844,-0.011588970220158513,-0.02185544910646342,0.006008874947102144,-0.04069502803803786,-0.059507080958076,0.6267029972752044,4.0,-0.6826965680425705,1.1223510742228449e-51,-0.456794356106332,2.555982948850938e-20
genre,E2,V2A,Reggae,366,-0.001084851739771714,-0.006985120188581296,-0.017116616808259405,0.010639976174935561,-0.04403613773865858,-0.055995928318221325,0.5136612021857924,3.0,-0.8704951317891279,4.103111876565912e-114,-0.7284807790908654,9.210519025742032e-62
genre,E2,V2A,Rock music,367,0.014949856251637306,0.0117673248832022,-0.006169430438446449,0.03583928040486242,-0.030259116701048517,-0.04631609641965874,0.31607629427792916,2.0,-0.8243054040293754,3.330904162893553e-92,-0.4699715134648374,1.4548873404958598e-21
