model_key,model,direction,true_genre,nearest_other_genre,count,row_percent,both_in_cluster
audio_encoder_genre,E3b,V2A,Classical music,Reggae,5,1.366120218579235,0
audio_encoder_genre,E3b,V2A,Classical music,Rock music,3,0.819672131147541,0
audio_encoder_genre,E3b,V2A,Country,Blues,219,59.67302452316076,0
audio_encoder_genre,E3b,V2A,Country,Classical music,41,11.1716621253406,0
audio_encoder_genre,E3b,V2A,Country,Electronic music,20,5.449591280653951,0
audio_encoder_genre,E3b,V2A,Country,Funk,2,0.5449591280653951,0
audio_encoder_genre,E3b,V2A,Country,Hip hop music,3,0.8174386920980926,0
audio_encoder_genre,E3b,V2A,Country,Jazz,19,5.177111716621253,0
audio_encoder_genre,E3b,V2A,Country,Pop music,15,4.087193460490464,0
audio_encoder_genre,E3b,V2A,Country,Reggae,12,3.2697547683923704,0
audio_encoder_genre,E3b,V2A,Country,Rock music,36,9.809264305177111,0
audio_encoder_genre,E3b,V2A,Electronic music,Blues,0,0.0,0
audio_encoder_genre,E3b,V2A,Electronic music,Classical music,9,2.4523160762942777,0
audio_encoder_genre,E3b,V2A,Electronic music,Country,7,1.9073569482288828,0
audio_encoder_genre,E3b,V2A,Electronic music,Funk,10,2.7247956403269753,1
audio_encoder_genre,E3b,V2A,Electronic music,Hip hop music,223,60.762942779291556,1
audio_encoder_genre,E3b,V2A,Electronic music,Jazz,10,2.7247956403269753,0
audio_encoder_genre,E3b,V2A,Electronic music,Pop music,42,11.444141689373296,1
audio_encoder_genre,E3b,V2A,Electronic music,Reggae,24,6.539509536784741,1
audio_encoder_genre,E3b,V2A,Electronic music,Rock music,42,11.444141689373296,0
audio_encoder_genre,E3b,V2A,Funk,Blues,4,1.0899182561307903,0
audio_encoder_genre,E3b,V2A,Funk,Classical music,12,3.2697547683923704,0
audio_encoder_genre,E3b,V2A,Funk,Country,24,6.539509536784741,0
audio_encoder_genre,E3b,V2A,Funk,Electronic music,100,27.247956403269754,1
audio_encoder_genre,E3b,V2A,Funk,Hip hop music,58,15.803814713896458,1
audio_encoder_genre,E3b,V2A,Funk,Jazz,28,7.629427792915531,0
audio_encoder_genre,E3b,V2A,Funk,Pop music,23,6.267029972752043,1
audio_encoder_genre,E3b,V2A,Funk,Reggae,70,19.07356948228883,1
audio_encoder_genre,E3b,V2A,Funk,Rock music,48,13.079019073569482,0
audio_encoder_genre,E3b,V2A,Hip hop music,Blues,0,0.0,0
audio_encoder_genre,E3b,V2A,Hip hop music,Classical music,1,0.2724795640326976,0
audio_encoder_genre,E3b,V2A,Hip hop music,Country,2,0.5449591280653951,0
audio_encoder_genre,E3b,V2A,Hip hop music,Electronic music,151,41.14441416893733,1
audio_encoder_genre,E3b,V2A,Hip hop music,Funk,5,1.3623978201634876,1
audio_encoder_genre,E3b,V2A,Hip hop music,Jazz,6,1.6348773841961852,0
audio_encoder_genre,E3b,V2A,Hip hop music,Pop music,14,3.8147138964577656,1
audio_encoder_genre,E3b,V2A,Hip hop music,Reggae,180,49.04632152588556,1
audio_encoder_genre,E3b,V2A,Hip hop music,Rock music,8,2.1798365122615806,0
audio_encoder_genre,E3b,V2A,Jazz,Blues,92,25.068119891008173,0
audio_encoder_genre,E3b,V2A,Jazz,Classical music,74,20.16348773841962,0
audio_encoder_genre,E3b,V2A,Jazz,Country,62,16.893732970027248,0
audio_encoder_genre,E3b,V2A,Jazz,Electronic music,46,12.534059945504087,0
audio_encoder_genre,E3b,V2A,Jazz,Funk,8,2.1798365122615806,0
audio_encoder_genre,E3b,V2A,Jazz,Hip hop music,22,5.994550408719346,0
audio_encoder_genre,E3b,V2A,Jazz,Pop music,17,4.632152588555858,0
audio_encoder_genre,E3b,V2A,Jazz,Reggae,15,4.087193460490464,0
audio_encoder_genre,E3b,V2A,Jazz,Rock music,31,8.446866485013624,0
audio_encoder_genre,E3b,V2A,Pop music,Blues,3,0.8174386920980926,0
audio_encoder_genre,E3b,V2A,Pop music,Classical music,10,2.7247956403269753,0
audio_encoder_genre,E3b,V2A,Pop music,Country,23,6.267029972752043,0
audio_encoder_genre,E3b,V2A,Pop music,Electronic music,89,24.250681198910083,1
audio_encoder_genre,E3b,V2A,Pop music,Funk,72,19.618528610354222,1
audio_encoder_genre,E3b,V2A,Pop music,Hip hop music,72,19.618528610354222,1
audio_encoder_genre,E3b,V2A,Pop music,Jazz,14,3.8147138964577656,0
audio_encoder_genre,E3b,V2A,Pop music,Reggae,21,5.722070844686648,1
audio_encoder_genre,E3b,V2A,Pop music,Rock music,63,17.166212534059945,0
audio_encoder_genre,E3b,V2A,Reggae,Blues,0,0.0,0
audio_encoder_genre,E3b,V2A,Reggae,Classical music,6,1.639344262295082,0
audio_encoder_genre,E3b,V2A,Reggae,Country,11,3.0054644808743167,0
audio_encoder_genre,E3b,V2A,Reggae,Electronic music,58,15.846994535519126,1
audio_encoder_genre,E3b,V2A,Reggae,Funk,107,29.23497267759563,1
audio_encoder_genre,E3b,V2A,Reggae,Hip hop music,137,37.431693989071036,1
audio_encoder_genre,E3b,V2A,Reggae,Jazz,12,3.278688524590164,0
audio_encoder_genre,E3b,V2A,Reggae,Pop music,13,3.551912568306011,1
audio_encoder_genre,E3b,V2A,Reggae,Rock music,22,6.0109289617486334,0
audio_encoder_genre,E3b,V2A,Rock music,Blues,113,30.79019073569482,0
audio_encoder_genre,E3b,V2A,Rock music,Classical music,3,0.8174386920980926,0
audio_encoder_genre,E3b,V2A,Rock music,Country,51,13.896457765667575,0
audio_encoder_genre,E3b,V2A,Rock music,Electronic music,76,20.708446866485012,0
audio_encoder_genre,E3b,V2A,Rock music,Funk,5,1.3623978201634876,0
audio_encoder_genre,E3b,V2A,Rock music,Hip hop music,6,1.6348773841961852,0
audio_encoder_genre,E3b,V2A,Rock music,Jazz,28,7.629427792915531,0
audio_encoder_genre,E3b,V2A,Rock music,Pop music,65,17.71117166212534,0
audio_encoder_genre,E3b,V2A,Rock music,Reggae,20,5.449591280653951,0
pair,E1,A2V,Blues,Classical music,19,5.177111716621253,0
pair,E1,A2V,Blues,Country,93,25.340599455040874,0
pair,E1,A2V,Blues,Electronic music,19,5.177111716621253,0
pair,E1,A2V,Blues,Funk,40,10.899182561307901,0
pair,E1,A2V,Blues,Hip hop music,9,2.4523160762942777,0
pair,E1,A2V,Blues,Jazz,73,19.891008174386922,0
pair,E1,A2V,Blues,Pop music,23,6.267029972752043,0
pair,E1,A2V,Blues,Reggae,26,7.084468664850136,0
pair,E1,A2V,Blues,Rock music,65,17.71117166212534,0
pair,E1,A2V,Classical music,Blues,18,4.918032786885246,0
pair,E1,A2V,Classical music,Country,107,29.23497267759563,0
pair,E1,A2V,Classical music,Electronic music,37,10.109289617486338,0
pair,E1,A2V,Classical music,Funk,3,0.819672131147541,0
pair,E1,A2V,Classical music,Hip hop music,0,0.0,0
pair,E1,A2V,Classical music,Jazz,179,48.90710382513661,0
pair,E1,A2V,Classical music,Pop music,14,3.8251366120218577,0
pair,E1,A2V,Classical music,Reggae,3,0.819672131147541,0
pair,E1,A2V,Classical music,Rock music,5,1.366120218579235,0
pair,E1,A2V,Country,Blues,137,37.32970027247956,0
pair,E1,A2V,Country,Classical music,55,14.986376021798366,0
pair,E1,A2V,Country,Electronic music,12,3.2697547683923704,0
pair,E1,A2V,Country,Funk,9,2.4523160762942777,0
pair,E1,A2V,Country,Hip hop music,8,2.1798365122615806,0
pair,E1,A2V,Country,Jazz,46,12.534059945504087,0
pair,E1,A2V,Country,Pop music,30,8.174386920980927,0
pair,E1,A2V,Country,Reggae,27,7.356948228882834,0
pair,E1,A2V,Country,Rock music,43,11.716621253405995,0
pair,E1,A2V,Electronic music,Blues,4,1.0899182561307903,0
pair,E1,A2V,Electronic music,Classical music,17,4.632152588555858,0
